timestamp,training_end,threshold_selected_pre_event,predicted_probability,predicted_class,actual_future_6h_rain,actual_target,predicted_amount_mm
2021-11-14 14:00:00,2021-10-31 23:00:00,0.95,0.0006884082686,0,6.3,0,0.9045628905
2021-11-14 15:00:00,2021-10-31 23:00:00,0.95,0.0001651558123,0,6.2,0,0.9316581488
2021-11-14 16:00:00,2021-10-31 23:00:00,0.95,0.0003498308943,0,6.9,0,0.6838477254
2021-11-14 17:00:00,2021-10-31 23:00:00,0.95,0.00144808786,0,0.9,0,9.773537636
2021-11-14 18:00:00,2021-10-31 23:00:00,0.95,0.001200213563,0,0.9,0,2.634014845
2021-11-14 19:00:00,2021-10-31 23:00:00,0.95,0.001664780779,0,0.9,0,2.514265299
2021-11-14 20:00:00,2021-10-31 23:00:00,0.95,0.0001604241552,0,1,0,2.444815636
2021-11-14 21:00:00,2021-10-31 23:00:00,0.95,0.00191259291,0,1.5,0,2.840036869
2021-11-14 22:00:00,2021-10-31 23:00:00,0.95,0.001363304676,0,2,0,4.779728889
2021-11-14 23:00:00,2021-10-31 23:00:00,0.95,6.15694662e-05,0,2.1,0,3.94000721
2021-11-15 00:00:00,2021-10-31 23:00:00,0.95,0.0001653263025,0,5.2,0,0.9700230956
2021-11-15 01:00:00,2021-10-31 23:00:00,0.95,0.0001787102228,0,5.4,0,0.5302169323
2021-11-15 02:00:00,2021-10-31 23:00:00,0.95,0.000193772561,0,5.6,0,1.213279247
2021-11-15 03:00:00,2021-10-31 23:00:00,0.95,0.0006472137757,0,5.4,0,2.113981485
2021-11-15 04:00:00,2021-10-31 23:00:00,0.95,0.002642520005,0,4.5,0,3.882344961
2021-11-15 05:00:00,2021-10-31 23:00:00,0.95,0.001086530625,0,4.4,0,2.643122911
2021-11-15 06:00:00,2021-10-31 23:00:00,0.95,0.003475745674,0,1.5,0,6.775108337
2021-11-15 07:00:00,2021-10-31 23:00:00,0.95,0.000139603726,0,1.5,0,2.994943142
2021-11-15 08:00:00,2021-10-31 23:00:00,0.95,0.0002155010297,0,1.2,0,3.711290121
2021-11-15 09:00:00,2021-10-31 23:00:00,0.95,0.0001205913213,0,0.9,0,3.704381466
2021-11-15 10:00:00,2021-10-31 23:00:00,0.95,3.02849312e-05,0,0.6,0,3.319844723
2021-11-15 11:00:00,2021-10-31 23:00:00,0.95,1.498632537e-05,0,0.4,0,2.753190041
2021-11-15 12:00:00,2021-10-31 23:00:00,0.95,8.566762517e-06,0,0.2,0,2.315678596
2021-11-15 13:00:00,2021-10-31 23:00:00,0.95,0.000120923185,0,0,0,1.931189418
2021-11-15 14:00:00,2021-10-31 23:00:00,0.95,9.215369209e-05,0,0,0,1.327041745
2021-11-15 15:00:00,2021-10-31 23:00:00,0.95,0.000404999475,0,0,0,0.7638828158
2021-11-15 16:00:00,2021-10-31 23:00:00,0.95,0.0005120328278,0,0,0,0.8933935165
2021-11-15 17:00:00,2021-10-31 23:00:00,0.95,0.002160253003,0,0.1,0,2.508944273
2021-11-15 18:00:00,2021-10-31 23:00:00,0.95,0.001178644015,0,0.1,0,2.406263351
2021-11-15 19:00:00,2021-10-31 23:00:00,0.95,0.00111117796,0,0.1,0,1.782471895
2021-11-15 20:00:00,2021-10-31 23:00:00,0.95,0.0004757155257,0,0.2,0,2.177534342
2021-11-15 21:00:00,2021-10-31 23:00:00,0.95,0.0001134560516,0,0.2,0,1.851643801
2021-11-15 22:00:00,2021-10-31 23:00:00,0.95,0.000160713229,0,0.2,0,1.421501875
2021-11-15 23:00:00,2021-10-31 23:00:00,0.95,0.0001241704013,0,0.1,0,1.579618454
2021-11-16 00:00:00,2021-10-31 23:00:00,0.95,1.861031342e-05,0,0.1,0,0.8584395051
2021-11-16 01:00:00,2021-10-31 23:00:00,0.95,2.632044016e-05,0,0.1,0,0.5035166144
2021-11-16 02:00:00,2021-10-31 23:00:00,0.95,2.742031393e-05,0,0.1,0,1.02318573
2021-11-16 03:00:00,2021-10-31 23:00:00,0.95,4.697733311e-05,0,0.1,0,0.6094737053
2021-11-16 04:00:00,2021-10-31 23:00:00,0.95,2.112603761e-05,0,0.1,0,0.6653393507
2021-11-16 05:00:00,2021-10-31 23:00:00,0.95,9.069006774e-05,0,0.3,0,0.9777796865
2021-11-16 06:00:00,2021-10-31 23:00:00,0.95,0.0001703835587,0,0.4,0,0.9628816843
2021-11-16 07:00:00,2021-10-31 23:00:00,0.95,6.856774417e-05,0,0.4,0,0.9173227549
2021-11-16 08:00:00,2021-10-31 23:00:00,0.95,4.699382407e-05,0,0.3,0,1.329146624
2021-11-16 09:00:00,2021-10-31 23:00:00,0.95,4.091400479e-05,0,0.3,0,0.8986986876
2021-11-16 10:00:00,2021-10-31 23:00:00,0.95,2.325145033e-05,0,0.3,0,0.85134691
2021-11-16 11:00:00,2021-10-31 23:00:00,0.95,2.031322038e-05,0,0.1,0,1.494399786
2021-11-16 12:00:00,2021-10-31 23:00:00,0.95,2.442230289e-05,0,0,0,0.8148495555
2021-11-16 13:00:00,2021-10-31 23:00:00,0.95,5.802787928e-05,0,0,0,0.2354419082
2021-11-16 14:00:00,2021-10-31 23:00:00,0.95,7.300748257e-05,0,4.4,0,0.2462180555
2021-11-16 15:00:00,2021-10-31 23:00:00,0.95,0.0001357869915,0,9.6,0,0.7770011425
2021-11-16 16:00:00,2021-10-31 23:00:00,0.95,0.000142349847,0,9.8,0,0.2435258627
2021-11-16 17:00:00,2021-10-31 23:00:00,0.95,0.0004264517047,0,9.9,0,0.3360494673
2021-11-16 18:00:00,2021-10-31 23:00:00,0.95,0.0002917570237,0,9.9,0,0.4000191391
2021-11-16 19:00:00,2021-10-31 23:00:00,0.95,0.0001054975583,0,9.9,0,0.3922979236
2021-11-16 20:00:00,2021-10-31 23:00:00,0.95,0.0005259336322,0,5.5,0,8.084288597
2021-11-16 21:00:00,2021-10-31 23:00:00,0.95,0.006376687903,0,0.3,0,8.22003746
2021-11-16 22:00:00,2021-10-31 23:00:00,0.95,0.004778813105,0,0.1,0,5.512246132
2021-11-16 23:00:00,2021-10-31 23:00:00,0.95,4.504648678e-05,0,0,0,2.325344086
2021-11-17 00:00:00,2021-10-31 23:00:00,0.95,7.083590026e-05,0,0,0,1.766173959
2021-11-17 01:00:00,2021-10-31 23:00:00,0.95,5.031736146e-05,0,0,0,1.15457201
2021-11-17 02:00:00,2021-10-31 23:00:00,0.95,0.0001687915938,0,0.2,0,0.1809296906
2021-11-17 03:00:00,2021-10-31 23:00:00,0.95,0.0002950628696,0,0.4,0,0
2021-11-17 04:00:00,2021-10-31 23:00:00,0.95,0.0005015611532,0,0.5,0,0
2021-11-17 05:00:00,2021-10-31 23:00:00,0.95,0.0002703265345,0,0.8,0,0.07018506527
2021-11-17 06:00:00,2021-10-31 23:00:00,0.95,0.001266388921,0,0.9,0,0.2726621032
2021-11-17 07:00:00,2021-10-31 23:00:00,0.95,0.001242175349,0,1.3,0,0.9467663169
2021-11-17 08:00:00,2021-10-31 23:00:00,0.95,0.000711155124,0,2.2,0,1.959861159
2021-11-17 09:00:00,2021-10-31 23:00:00,0.95,0.000219118825,0,3.4,0,2.040307999
2021-11-17 10:00:00,2021-10-31 23:00:00,0.95,4.6143894e-05,0,4.4,0,1.223929048
2021-11-17 11:00:00,2021-10-31 23:00:00,0.95,6.188680709e-05,0,5.1,0,1.949811578
2021-11-17 12:00:00,2021-10-31 23:00:00,0.95,1.29054024e-05,0,5.5,0,1.5185498
2021-11-17 13:00:00,2021-10-31 23:00:00,0.95,0.0001938477799,0,5.4,0,1.942891479
2021-11-17 14:00:00,2021-10-31 23:00:00,0.95,0.0007646263693,0,4.6,0,3.885659933
2021-11-17 15:00:00,2021-10-31 23:00:00,0.95,0.00513134012,0,3.3,0,4.441907883
2021-11-17 16:00:00,2021-10-31 23:00:00,0.95,0.006509809289,0,4.6,0,4.114915848
2021-11-17 17:00:00,2021-10-31 23:00:00,0.95,0.02101689577,0,8,0,5.135744572
